=================== prox2-saga ====================
Accelerated SDCA: PASS_GRAD = 17, cost = 0.0027496598896463, optgap = Inf, time = 3.967296, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 18, cost = 0.0026262907315882, optgap = Inf, time = 4.205517, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 19, cost = 0.0028681964738054, optgap = Inf, time = 4.454123, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 20, cost = 0.0027309538989770, optgap = Inf, time = 4.686811, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 21, cost = 0.0027108940870909, optgap = Inf, time = 4.921240, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 22, cost = 0.0026592861216523, optgap = Inf, time = 5.155411, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 23, cost = 0.0026809189007170, optgap = Inf, time = 5.400272, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 24, cost = 0.0026536932987564, optgap = Inf, time = 5.638305, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 25, cost = 0.0026169072033664, optgap = Inf, time = 5.873312, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 26, cost = 0.0026040423210186, optgap = Inf, time = 6.105430, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 27, cost = 0.0026094531881302, optgap = Inf, time = 6.341057, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 28, cost = 0.0026211256796079, optgap = Inf, time = 6.575176, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 29, cost = 0.0026882239544770, optgap = Inf, time = 6.807032, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 30, cost = 0.0026081432718243, optgap = Inf, time = 7.038418, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 31, cost = 0.0025999091734748, optgap = Inf, time = 7.268342, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 32, cost = 0.0026082516514480, optgap = Inf, time = 7.507933, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 33, cost = 0.0025982119424065, optgap = Inf, time = 7.739160, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 34, cost = 0.0026052809111019, optgap = Inf, time = 7.971620, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 35, cost = 0.0026114460001694, optgap = Inf, time = 8.204563, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 36, cost = 0.0026009550370277, optgap = Inf, time = 8.443250, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 37, cost = 0.0025933607831472, optgap = Inf, time = 8.671618, w_opt = Inf
